dataset/row	baseline output	candidate output	target	baseline AST	candidate AST	target AST	W/T/L transition
mba_flatten:2935	0x8 * (v0 & v2) - 0x8 * (v0 & v1 & v2) + v0 * v1	0x8 * (v0 & v2 & ~ v1) + v0 * v1	v0 * v1 + 0x8 * (v0 & ~ v1 & v2)	13	10	12	L→W
mba_flatten:2939	0xb * (v0 & v1 & v2) - 0xb * (v0 & v2) + v0 * v1	-0xb * (v0 & v2 & ~ v1) + v0 * v1	v0 * v1 - 0xb * (v0 & ~ v1 & v2)	13	10	13	T→W
mba_flatten:2942	0x6 * ~ (v0 ^ v2) - 0x7 * (v0 & v1 & v2) + v0 * v1	-0x6 - 0x7 * (v0 & v1 & v2) - 0x6 * (v0 ^ v2) + v0 * v1	v0 * v1 + 0x6 * (v2 ^ (~ v0 | v1 & v2)) - 0x1 * (v0 & v1 & v2)	14	14	22	W→W
mba_flatten:2943	0x5 * (v0 | v1) - 0x5 * ~ v2 - 0x3 * (v0 & v2) - 0x3 * (v1 & v2) + (v0 & v1 & v2) + v0 * v1	0x5 + 0x5 * v2 + 0x5 * (v0 | v1) - 0x3 * (v0 & v2) - 0x3 * (v1 & v2) + (v0 & v1 & v2) + v0 * v1	v0 * v1 + 0x2 * (~ (v0 & v1) & ~ (v0 ^ v1 ^ v2)) - 0x7 * ~ (v0 | v1 | v2)	23	23	26	W→W
mba_flatten:2945	0x7 * (v0 & v1) - 0x7 * (v0 & v1 & v2) + v0 * v1	0x7 * (v0 & v1 & ~ v2) + v0 * v1	v0 * v1 + 0x7 * ~ (~ v0 | ~ v1 | v2)	13	10	14	W→W
mba_flatten:2949	-0x7 * (v1 & ~ v0) - (v0 & v2) + (v0 & v1 & v2) + v0 * v1	-0x7 * (v1 & ~ v0) - (v0 & v2 & ~ v1) + v0 * v1	v0 * v1 + 0x6 * (v0 & ~ v1 & v2) - 0x7 * (v1 ^ v0 & (v1 | v2))	17	15	22	W→W
mba_flatten:2950	0x2 * (v0 & v2) - 0x2 * (v0 & v1 & v2) - (v1 ^ v2) + v0 * v1	0x2 * (v0 & v2 & ~ v1) - (v1 ^ v2) + v0 * v1	v0 * v1 - 0x1 * (~ (v0 & ~ v1) & (v1 ^ v2)) + 0x1 * (v0 & ~ v1 & v2)	17	14	24	W→W
mba_flatten:2951	0xb * ~ v1 + 0x16 * (v0 & v1) + 0x16 * (v1 & v2) - 0x24 * (v0 & v1 & v2) - 0xb * (v0 | v2) + v0 * v1	0xb * ~ (v0 ^ v1) + 0x16 * (v1 & v2) - 0x24 * (v0 & v1 & v2) - 0xb * (v2 & ~ v0) + v0 * v1	v0 * v1 - 0xe * (v0 & v1 & v2) + 0xb * (v1 ^ ~ (v0 | v2))	24	23	20	L→L
mba_flatten:2952	0x8 * (v0 | v1) + 0xc * (v0 & v1 & v2) - 0xc * (v0 & v2) - 0x8 * (~ v2 | v1) + v0 * v1	0x8 * (v0 | v1) - 0xc * (v0 & v2 & ~ v1) - 0x8 * (~ v2 | v1) + v0 * v1	v0 * v1 - 0x8 * ~ (v0 | v1 | v2) - 0x4 * (v0 & ~ v1 & v2)	22	19	22	T→W
mba_flatten:2954	0x2 * (~ v1 | v2) + 0x7 * (v0 & v1) - 0x7 * (v0 & v1 & v2) - 0x2 * (v0 | v2) + v0 * v1	0x2 * (~ v1 | v2) + 0x7 * (v0 & v1 & ~ v2) - 0x2 * (v0 | v2) + v0 * v1	v0 * v1 + 0x2 * ~ (v0 | v1 | v2) + 0x5 * ~ (~ v0 | ~ v1 | v2)	22	19	22	T→W
mba_flatten:2955	-~ (v2 | v0 | v1) + v0 * v1	0x1 + (v2 | v0 | v1) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 | v1 | v2)	10	9	13	W→W
mba_flatten:2956	-0x4 * (v1 & ~ v2) - (v0 & v2) + (v0 & v1 & v2) + v0 * v1	-0x4 * (v1 & ~ v2) - (v0 & v2 & ~ v1) + v0 * v1	v0 * v1 - 0x1 * (v0 & ~ v1 & v2) - 0x4 * (v1 & ~ v2)	17	15	20	W→W
mba_flatten:2957	0x7 * ~ (v2 | v0 | v1) + v0 * v1	-0x7 - 0x7 * (v2 | v0 | v1) + v0 * v1	v0 * v1 + 0x7 * ~ (v0 | v1 | v2)	10	10	12	W→W
mba_flatten:2958	-0x5 * ~ (v0 | v1) - 0x3 * (v0 & v1 & v2) - 0x3 * (v2 & ~ v1) - 0x2 * (v0 & v2) + v0 * v1	0x5 + 0x3 * (v1 & v2 & ~ v0) + 0x5 * (v0 | v1) - 0x3 * v2 - 0x2 * (v0 & v2) + v0 * v1	v0 * v1 - 0x5 * (v1 ^ (~ v0 | v1 ^ v2)) - 0x3 * (~ v0 & ~ v1 & v2)	23	21	25	W→W
mba_flatten:2959	0x2 * ~ (v0 & v1 & v2) + 0x2 * (v1 & v2) - 0x2 * (v0 | v2) + v0 * v1	-0x2 - 0x2 * (v2 & ~ v1 | v0) + v0 * v1	v0 * v1 - 0x2 * (v0 & ~ v1 & v2) + 0x2 * ~ (v0 ^ ~ v1 & v2)	18	12	22	W→W
mba_flatten:2960	0x6 * (v0 | v2) - 0x4 * (v1 & v2) - 0x2 * (v0 & v1 & v2) - 0x2 * (v1 & ~ v0) + v0 * v1	0x2 * (v0 & v1 & ~ v2) + 0x6 * (v0 | v2) - 0x4 * (v1 & v2) - 0x2 * v1 + v0 * v1	v0 * v1 + 0x6 * (v0 & ~ v1 | v1 ^ v2) - 0x8 * ~ (v0 | ~ v1 | v2)	22	20	24	W→W
mba_flatten:2963	0x8 * (v0 & v1 & v2) - 0x8 * (v0 & v1) - (v0 & ~ v2) + v0 * v1	-0x8 * (v0 & v1 & ~ v2) - v0 + (v0 & v2) + v0 * v1	v0 * v1 - 0x1 * ~ (~ v0 | v1 | v2) - 0x9 * ~ (~ v0 | ~ v1 | v2)	18	15	25	W→W
mba_flatten:2964	-0x8 * (v0 & v2) - 0x7 * ~ v2 + (v0 & v1 & v2) + (v0 & ~ v1) + v0 * v1	0x7 + 0x7 * v2 - 0x8 * (v0 & v2) + (v0 & v1 & v2) + (v0 & ~ v1) + v0 * v1	v0 * v1 + 0x1 * ~ (~ v0 | v1 | v2) - 0x7 * (v0 | ~ v2)	19	19	20	W→W
mba_flatten:2965	-0x9 * ~ (v0 | v1 | v2) + v0 * v1	0x9 + 0x9 * (v0 | v1 | v2) + v0 * v1	v0 * v1 - 0x9 * ~ (v0 | v1 | v2)	10	10	13	W→W
mba_flatten:2968	0x2 * (v0 & v1 & v2) + 0x10 * (v0 | v1) - 0x10 * (~ v2 | v1) - 0x2 * (v0 & v2) + v0 * v1	0x10 * (v0 | v1) - 0x10 * (~ v2 | v1) - 0x2 * (v0 & v2 & ~ v1) + v0 * v1	v0 * v1 - 0x10 * ~ (v0 | v1 | v2) + 0xe * (v0 & ~ v1 & v2)	22	19	21	L→W
mba_flatten:2970	0x3 * ~ (v0 & v1 & v2) + 0x6 * (v1 & v2) - 0x3 * (v2 & ~ v0) - 0x3 * (v0 | v1) + v0 * v1	-0x3 + 0x6 * (v1 & v2) - 0x3 * v1 - 0x3 * (v0 & ~ v1 | v2) + v0 * v1	v0 * v1 + 0x3 * (~ (v0 & ~ v1) & ~ (v1 ^ v2))	23	18	16	L→L
mba_flatten:2972	0x2 * ~ (v0 & v2) + 0x8 * (v0 & v1 & v2) - 0x8 * (v1 & v2) - 0x2 * (v1 & ~ v0) + v0 * v1	-0x2 - 0x8 * (v1 & v2 & ~ v0) - 0x2 * (v0 & v2) - 0x2 * (v1 & ~ v0) + v0 * v1	v0 * v1 - 0x8 * (~ v0 & v1 & v2) + 0x2 * (v1 ^ ~ (v0 & (v1 ^ v2)))	23	20	23	T→W
mba_flatten:2973	0x3 * (~ v2 | v0) + 0x6 * (v1 & v2) - 0x6 * (v0 & v1 & v2) - 0x3 * (v0 | v1) + v0 * v1	0x3 * (~ v1 ^ ~ v0 & v2) - 0x3 * (v0 & ~ v1) + v0 * v1	v0 * v1 + 0x3 * ~ (v0 | v1 ^ v2)	22	17	12	L→L
mba_flatten:2974	0x3 * (v1 & ~ v2) - 0x3 * ~ (v0 & v1 & v2) + v0 * v1	0x3 + 0x3 * (v0 & v1 & v2) + 0x3 * (v1 & ~ v2) + v0 * v1	v0 * v1 - 0x3 * (v1 ^ ~ (~ v0 & v1 & v2))	15	15	16	W→W
mba_flatten:2976	0x2 * ~ (v0 & v1) - 0x7 * (v0 & v1 & v2) - 0x2 * (v2 & ~ v1) + v0 * v1	-0x2 - 0x7 * (v0 & v1 & v2) - 0x2 * (v0 & v1) - 0x2 * (v2 & ~ v1) + v0 * v1	v0 * v1 + 0x2 * (v0 & v1 ^ (v1 | ~ v2)) - 0x7 * (v0 & v1 & v2)	19	19	22	W→W
mba_flatten:2977	0xd * (v0 & v2) - 0xd * (v0 & v1 & v2) + v0 * v1	0xd * (v0 & v2 & ~ v1) + v0 * v1	v0 * v1 + 0xd * (v0 & ~ v1 & v2)	13	10	12	L→W
mba_flatten:2978	0x7 * (v1 & v2) - 0x7 * (v0 & v1 & v2) - (~ v1 | v0) + v0 * v1	0x1 + 0x7 * (v1 & v2 & ~ v0) + (v1 & ~ v0) + v0 * v1	v0 * v1 + 0x7 * (~ v0 & v1 & v2) - 0x1 * (v0 | ~ v1)	18	15	19	W→W
mba_flatten:2979	0x6 * (v0 & v1 & v2) - 0x5 * (v1 & v2) - (v2 & ~ v0) - (v0 | v1) + v0 * v1	0x6 * (v0 & v1 & v2) - 0x5 * (v1 & v2) - v2 - (v0 | v1) + (v0 & v2) + v0 * v1	v0 * v1 - 0x6 * (~ v0 & v1 & v2) - 0x1 * (v0 ^ v1 | v0 ^ v2)	22	22	23	W→W
mba_flatten:2981	0xc * (v0 & v1) - 0xc * (v0 & v1 & v2) - 0x3 * (v1 ^ v2) + v0 * v1	0xc * (v0 & v1 & ~ v2) - 0x3 * (v1 ^ v2) + v0 * v1	v0 * v1 + 0x9 * ~ (~ v0 | ~ v1 | v2) - 0x3 * (~ (v0 & v1) & (v1 ^ v2))	17	14	25	W→W
mba_flatten:2982	0x2 * (v1 & ~ v2) + 0x3 * (v0 | v2) + 0x5 * (v0 & v1 & v2) - 0x5 * (v0 & v1) + v0 * v1	0x2 * (v1 & ~ v2) + 0x3 * (v0 | v2) - 0x5 * (v0 & v1 & ~ v2) + v0 * v1	v0 * v1 + 0x3 * (v2 | v0 & ~ v1) + 0x2 * ~ (v0 | ~ v1 | v2)	22	19	21	L→W
mba_flatten:2985	-0x2 * (v0 & ~ (v1 & v2)) + v0 * v1	0x2 * (v0 & v1 & v2) - 0x2 * v0 + v0 * v1	v0 * v1 - 0x2 * ~ (~ v0 | v1 & v2)	11	11	14	W→W
mba_flatten:2986	0x7 * (~ v0 | v1) + 0x1d * (v1 & v2) - 0x1d * (v0 & v1 & v2) - 0x12 * v1 - 0x12 * (v2 & ~ v0) + v0 * v1	0x7 * (~ v0 | v1) + 0x1d * (v1 & v2 & ~ v0) - 0x12 * v1 - 0x12 * (v2 & ~ v0) + v0 * v1	v0 * v1 + 0x7 * ~ (v0 | v1 | v2) - 0xb * (v1 ^ ~ (v0 | ~ v2))	25	22	22	L→T
mba_flatten:2989	-~ (v0 ^ v2) + v0 * v1	0x1 + (v0 ^ v2) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 ^ v2)	9	8	11	W→W
mba_flatten:2996	v2 + 0x2 * (v1 & ~ v0) + 0x4 * (v0 & v1 & v2) - 0x4 * (v0 & v2) - 0x3 * ~ v0 - 0x3 * (v1 & v2) + v0 * v1	v2 + 0x3 + 0x2 * (v1 & ~ v0) + 0x3 * v0 - 0x4 * (v0 & v2 & ~ v1) - 0x3 * (v1 & v2) + v0 * v1	v0 * v1 - 0x1 * ~ (v0 ^ ~ v1 & v2) - 0x2 * (v2 | ~ (v0 | v1))	26	23	23	L→T
mba_flatten:2998	0xd + 0xa * v1 + 0xa * v2 + 0xa * (v0 & ~ (v1 | v2)) - 0x7 * (v1 & v2) + v0 * v1	0xd + 0xa * v1 + 0xa * (v0 & ~ v1 | v2) - 0x7 * (v1 & v2) + v0 * v1	v0 * v1 - 0x3 * ~ (v1 & v2) - 0xa * ~ (v0 | v1 | v2)	20	18	20	T→W
mba_obf_linear:5	0x4 * ~ v0 + 0x9 * (v0 & v1) - 0x4 * v1	-0x4 - 0x4 * v0 - 0x4 * v1 + 0x9 * (v0 & v1)	0x5 * (v0 & v1) + 0x4 * ~ (v0 | v1)	10	10	12	W→W
mba_obf_linear:18	0x8 * (v0 & ~ v1) - 0x7 * ~ v1	0x7 + 0x7 * v1 + 0x8 * (v0 & ~ v1)	(-0x1) * 0x7 * ~ v1 + 0x8 * (v0 & ~ v1)	9	9	12	W→W
mba_obf_linear:25	0x7 * (v1 & v0) - 0x4 * ~ v1	0x4 + 0x4 * v1 + 0x7 * (v1 & v0)	(-0x1) * 0x4 * (v0 | ~ v1) + 0xb * (v0 & v1)	8	8	13	W→W
mba_obf_linear:36	-0x7 * (v0 & v1) - ~ v0	0x1 + v0 - 0x7 * (v0 & v1)	(-0x1) * 0x6 * (v0 & v1) - 0x1 * ~ (v0 & ~ v1)	8	7	15	W→W
mba_obf_linear:42	0xd * v1 - 0x19 * (v0 & v1) - 0xd * ~ v0	0xd + 0xd * v0 + 0xd * v1 - 0x19 * (v0 & v1)	(-0x1) * 0xd * ~ (v0 | v1) - 0xc * (v0 & v1)	10	10	14	W→W
mba_obf_linear:43	0x7 * ~ v1 - 0x6 * (v1 & v0)	-0x7 - 0x7 * v1 - 0x6 * (v1 & v0)	(-0x1) * 0xd * (v0 & v1) + 0x7 * (v0 | ~ v1)	8	8	13	W→W
mba_obf_linear:44	0x2 * ~ v0 + 0x3 * (v1 & ~ v0)	-0x2 + 0x3 * (v1 & ~ v0) - 0x2 * v0	0x5 * ~ (v0 | ~ v1) + 0x2 * ~ (v0 | v1)	9	9	14	W→W
mba_obf_linear:46	0x9 * (v1 & ~ v0) - 0x7 * ~ v0	0x7 + 0x7 * v0 + 0x9 * (v1 & ~ v0)	(-0x1) * 0x9 * ~ (v0 | v1) + 0x2 * ~ v0	9	9	12	W→W
mba_obf_linear:47	(-0x1) * ~ v1	0x1 + v1	(-0x1) * 0x1 * (v0 & ~ v1) - 0x1 * ~ (v0 | v1)	3	3	15	W→W
mba_obf_linear:57	0x3 * ~ v0 - 0x2 * (v1 & ~ v0)	-0x3 - 0x3 * v0 - 0x2 * (v1 & ~ v0)	(-0x1) * 0x2 * ~ (v0 | ~ v1) + 0x3 * ~ v0	9	9	13	W→W
mba_obf_linear:58	0x2 * ~ v0 - 0x3 * (v1 & ~ v0)	-0x2 - 0x3 * (v1 & ~ v0) - 0x2 * v0	0x2 * ~ v0 - 0x3 * ~ (v0 | ~ v1)	9	9	13	W→W
mba_obf_linear:60	(-0x1) * ~ (v0 | v1)	0x1 + (v0 | v1)	(-0x1) * 0x1 * ~ (v0 | v1)	5	5	7	W→W
mba_obf_linear:76	0x2 * v1 - 0x3 * (v0 & v1) - ~ v0	0x1 + v0 + 0x2 * v1 - 0x3 * (v0 & v1)	0x1 * (v0 ^ v1) - 0x1 * (v0 | ~ v1)	10	9	13	W→W
mba_obf_linear:80	-0x2 - (v1 & ~ v0)	-0x2 - v1 + (v1 & v0)	0x2 * (v0 | ~ v1) + 0x1 * ~ (v0 | ~ v1)	7	7	14	W→W
mba_obf_linear:81	0x6 * (v0 & v1) - 0x8 * v1 - 0x2 * ~ v0	0x2 + 0x2 * v0 - 0x8 * v1 + 0x6 * (v0 & v1)	(-0x1) * 0xa * ~ (v0 | ~ v1) - 0x2 * ~ (v0 ^ v1)	10	10	16	W→W
mba_obf_linear:84	0x1 - (v1 & ~ v0)	0x1 - v1 + (v1 & v0)	(-0x1) * 0x1 * (v0 | v1) - 0x1 * ~ v0	7	7	12	W→W
mba_obf_linear:87	0x3 * ~ v0 - 0x8 * (v1 & ~ v0)	-0x3 - 0x8 * (v1 & ~ v0) - 0x3 * v0	(-0x1) * 0x5 * ~ v0 + 0x8 * ~ (v0 | v1)	9	9	12	W→W
mba_obf_linear:91	(-0x1) * ~ (v0 | v1)	0x1 + (v0 | v1)	(-0x1) * 0x1 * ~ (v0 | v1)	5	5	7	W→W
mba_obf_linear:94	0xb * v1 - 0xd * (v0 & v1) - 0xb * ~ v0	0xb + 0xb * v0 + 0xb * v1 - 0xd * (v0 & v1)	0x9 * (v0 & v1) - 0xb * ~ (v0 ^ v1)	10	10	13	W→W
mba_obf_linear:97	-0x4 * ~ v1 + (v1 & v0)	0x4 + 0x4 * v1 + (v1 & v0)	(-0x1) * 0x4 * (v0 | ~ v1) + 0x5 * (v0 & v1)	7	7	13	W→W
mba_obf_linear:102	0xd * ~ v1 - 0x2 * (v0 & ~ v1)	-0xd - 0xd * v1 - 0x2 * (v0 & ~ v1)	0xb * (v0 & ~ v1) + 0xd * ~ (v0 | v1)	9	9	13	W→W
mba_obf_linear:110	-0x2 * (v0 & ~ v1) - ~ v1	v1 + 0x1 - 0x2 * (v0 & ~ v1)	(-0x1) * 0x1 * ~ (v0 | v1) - 0x3 * (v0 & ~ v1)	9	8	15	W→W
mba_obf_linear:114	-0x4 * (v0 & ~ v1) - ~ v1	v1 + 0x1 - 0x4 * (v0 & ~ v1)	(-0x1) * 0x5 * (v0 & ~ v1) - 0x1 * ~ (v0 | v1)	9	8	15	W→W
mba_obf_linear:121	(-0x1) * ~ (v0 | v1)	0x1 + (v0 | v1)	(-0x1) * 0x1 * ~ (v0 | v1)	5	5	7	W→W
mba_obf_linear:123	(-0x1) * ~ v0	0x1 + v0	(-0x1) * 0x1 * ~ v0	3	3	5	W→W
mba_obf_linear:128	0x2 * v0 + 0x7 * (v0 & v1) + 0x9 * ~ v1	-0x9 + 0x2 * v0 - 0x9 * v1 + 0x7 * (v0 & v1)	0xb * (v0 | ~ v1) - 0x2 * ~ (v0 ^ v1)	10	10	14	W→W
mba_obf_linear:132	0x5 * ~ v1 + 0xe * (v0 & v1) - 0x7 * v0	0x7 * ~ (v0 ^ v1) - 0x2 * ~ v1	0x7 * ~ (v0 ^ v1) - 0x2 * ~ v1	10	9	12	W→W
mba_obf_linear:135	0x14 * ~ v0 - 0x19 * (v1 & ~ v0)	-0x14 - 0x19 * (v1 & ~ v0) - 0x14 * v0	0x19 * ~ (v0 | v1) - 0x5 * ~ v0	9	9	12	W→W
mba_obf_linear:137	0x6 * ~ v0 + 0x16 * (v0 & v1) - 0x10 * v1	-0x6 - 0x6 * v0 - 0x10 * v1 + 0x16 * (v0 & v1)	(-0x1) * 0x10 * ~ (v0 | ~ v1) + 0x6 * ~ (v0 & ~ v1)	10	10	16	W→W
mba_obf_linear:139	-0x14 * (v1 & v0) - 0x5 * ~ v1	0x5 + 0x5 * v1 - 0x14 * (v1 & v0)	(-0x1) * 0x5 * (v0 | ~ v1) - 0xf * (v0 & v1)	8	8	14	W→W
mba_obf_linear:154	0xd * (v0 & ~ v1) - 0x4 * ~ v1	0x4 + 0x4 * v1 + 0xd * (v0 & ~ v1)	0x9 * (v0 & ~ v1) - 0x4 * ~ (v0 | v1)	9	9	14	W→W
mba_obf_linear:158	v1 - 0xd * (v0 & v1) - ~ v0	0x1 + v0 + v1 - 0xd * (v0 & v1)	(-0x1) * 0x1 * ~ (v0 ^ v1) - 0xb * (v0 & v1)	9	8	14	W→W
mba_obf_linear:160	-0x7 * ~ v0 - 0x3 * (v1 & ~ v0)	0x7 + 0x7 * v0 - 0x3 * (v1 & ~ v0)	(-0x1) * 0xa * ~ (v0 | ~ v1) - 0x7 * ~ (v0 | v1)	9	9	16	W→W
mba_obf_linear:166	0x3 * ~ v0 - 0x3 * v1	-0x3 - 0x3 * v0 - 0x3 * v1	0x3 * ~ v1 - 0x3 * v0	6	6	9	W→W
mba_obf_linear:170	0x2 * ~ v0 - 0xb * (v0 & v1) - 0x2 * v1	-0x2 - 0x2 * v0 - 0x2 * v1 - 0xb * (v0 & v1)	(-0x1) * 0xf * (v0 & v1) + 0x2 * ~ (v0 ^ v1)	10	10	13	W→W
mba_obf_linear:172	v0 - 0xa * (v0 & v1) - 0x5 * ~ v1	0x5 + v0 + 0x5 * v1 - 0xa * (v0 & v1)	(-0x1) * 0x4 * v0 - 0x5 * ~ (v0 ^ v1)	9	9	12	W→W
mba_obf_linear:174	0x4 * (v0 & v1) - 0x5 * ~ v0	0x5 + 0x5 * v0 + 0x4 * (v0 & v1)	(-0x1) * 0x5 * ~ (v0 & ~ v1) + 0x9 * (v0 & v1)	8	8	14	W→W
mba_obf_linear:175	0x7 * (v1 & v0) - ~ v1	0x1 + v1 + 0x7 * (v1 & v0)	0x8 * (v0 & v1) - 0x1 * (v0 | ~ v1)	8	7	13	W→W
mba_obf_linear:177	-0x2 * ~ v1 - v0 - (v1 & v0)	0x2 + 0x2 * v1 - v0 - (v1 & v0)	(-0x1) * 0x2 * (v0 | ~ v1) - 0x1 * (v0 & ~ v1)	10	10	15	W→W
mba_obf_linear:188	0x2 * v0 - ~ v1	0x1 + v1 + 0x2 * v0	0x2 * v0 - 0x1 * ~ v1	6	5	9	W→W
mba_obf_linear:189	0x4 * v0 - 0x8 * (v0 & v1) - 0x6 * ~ v1	-0x4 * ~ (v0 ^ v1) - 0x2 * ~ v1	(-0x1) * 0x2 * ~ v1 - 0x4 * ~ (v0 ^ v1)	10	9	13	W→W
mba_obf_linear:197	0x2 * ~ v0 - 0xc * (v1 & ~ v0)	-0x2 - 0xc * (v1 & ~ v0) - 0x2 * v0	0x2 * ~ v0 - 0xc * ~ (v0 | ~ v1)	9	9	13	W→W
mba_obf_linear:219	(-0x1) * ~ (v0 ^ v1)	0x1 + (v0 ^ v1)	(-0x1) * 0x1 * ~ (v0 ^ v1)	5	5	7	W→W
mba_obf_linear:225	-0x3 * ~ v0 - (v0 & v1)	0x3 + 0x3 * v0 - (v0 & v1)	(-0x1) * 0x2 * ~ v0 - 0x1 * ~ (v0 & ~ v1)	8	8	14	W→W
mba_obf_linear:242	0xd * v0 - 0x14 * (v1 & v0) - 0x7 * ~ v1	0x7 + 0x7 * v1 + 0xd * v0 - 0x14 * (v1 & v0)	0xd * (v0 & ~ v1) - 0x7 * (v0 | ~ v1)	10	10	14	W→W
mba_obf_linear:248	0x6 * ~ v0 + 0x10 * (v0 & v1) - 0xa * v1	-0x6 - 0x6 * v0 - 0xa * v1 + 0x10 * (v0 & v1)	(-0x1) * 0x4 * ~ (v0 | ~ v1) + 0x6 * ~ (v0 ^ v1)	10	10	15	W→W
mba_obf_linear:249	0x2 * ~ v0 - 0x9 * (v1 & ~ v0)	-0x2 - 0x9 * (v1 & ~ v0) - 0x2 * v0	(-0x1) * 0x9 * ~ (v0 | ~ v1) + 0x2 * ~ v0	9	9	13	W→W
mba_obf_linear:256	-0x4 * ~ v0 - 0x4 * (v1 & ~ v0)	0x4 + 0x4 * v0 - 0x4 * (v1 & ~ v0)	(-0x1) * 0x8 * ~ (v0 | ~ v1) - 0x4 * ~ (v0 | v1)	9	9	16	W→W
mba_obf_linear:257	0x11 * (v0 & ~ v1) - ~ v1	v1 + 0x1 + 0x11 * (v0 & ~ v1)	(-0x1) * 0x1 * ~ (v0 | v1) + 0x10 * (v0 & ~ v1)	9	8	14	W→W
mba_obf_linear:261	-0xc * (v0 & v1) - 0x2 * ~ v0	0x2 + 0x2 * v0 - 0xc * (v0 & v1)	(-0x1) * 0x2 * ~ v0 - 0xc * (v0 & v1)	8	8	12	W→W
mba_obf_linear:266	-0xc * v1 - (v0 & ~ v1)	-0xc * v1 - v0 + (v1 & v0)	(-0x1) * 0x1 * (v0 | v1) - 0xb * v1	8	8	11	W→W
mba_obf_linear:280	0xb * (v1 & ~ v0) - 0x3 * ~ v0	0x3 + 0x3 * v0 + 0xb * (v1 & ~ v0)	0x8 * ~ (v0 | ~ v1) - 0x3 * ~ (v0 | v1)	9	9	15	W→W
mba_obf_linear:284	0x2 * ~ v1 - 0x6 * (v0 & ~ v1)	-0x2 - 0x6 * (v0 & ~ v1) - 0x2 * v1	0x2 * ~ (v0 | v1) - 0x4 * (v0 & ~ v1)	9	9	14	W→W
mba_obf_linear:286	0x5 * ~ v1 - 0x2 * (v0 & ~ v1)	-0x5 - 0x5 * v1 - 0x2 * (v0 & ~ v1)	0x5 * ~ (v0 | v1) + 0x3 * (v0 & ~ v1)	9	9	13	W→W
mba_obf_linear:292	0x4 * ~ v0 + 0xf * (v0 & v1) - 0x4 * v1	-0x4 - 0x4 * v0 - 0x4 * v1 + 0xf * (v0 & v1)	0xb * ~ (v0 ^ v1) - 0x7 * ~ (v0 | v1)	10	10	14	W→W
mba_obf_linear:318	-0x7 * (v1 & v0) - 0x4 * ~ v1	0x4 + 0x4 * v1 - 0x7 * (v1 & v0)	(-0x1) * 0x4 * ~ v1 - 0x7 * (v0 & v1)	8	8	12	W→W
mba_obf_linear:339	0x2 * (v0 & v1) + 0x3 * ~ v1	-0x3 - 0x3 * v1 + 0x2 * (v0 & v1)	0x2 * (v0 | ~ v1) + 0x1 * ~ v1	8	8	11	W→W
mba_obf_linear:362	0xb * v1 - 0x7 * ~ v0	0x7 + 0x7 * v0 + 0xb * v1	0xb * v1 - 0x7 * ~ v0	6	6	9	W→W
mba_obf_linear:367	0x1 - (v1 & ~ v0)	0x1 - v1 + (v1 & v0)	(-0x1) * 0x1 * ~ (v0 & ~ v1) - 0x1 * (v0 ^ v1)	7	7	15	W→W
mba_obf_linear:371	-0x6 * (v1 & v0) - ~ v1	0x1 + v1 - 0x6 * (v1 & v0)	(-0x1) * 0x5 * (v0 & v1) - 0x1 * (v0 | ~ v1)	8	7	14	W→W
mba_obf_linear:377	0x9 * v1 - 0x16 * (v0 & v1) - 0x9 * ~ v0	0x9 + 0x9 * v0 + 0x9 * v1 - 0x16 * (v0 & v1)	(-0x1) * 0xd * (v0 & v1) - 0x9 * ~ (v0 | v1)	10	10	14	W→W
mba_obf_linear:379	0xa * (v0 & v1) + 0xb * ~ v1 - 0x5 * v0	0x5 * ~ (v0 ^ v1) + 0x6 * ~ v1	0x6 * ~ v1 + 0x5 * ~ (v0 ^ v1)	10	9	11	W→W
mba_obf_linear:385	-0x7 * (v1 & v0) - 0x2 * ~ v1	0x2 + 0x2 * v1 - 0x7 * (v1 & v0)	(-0x1) * 0x2 * (v0 | ~ v1) - 0x5 * (v0 & v1)	8	8	14	W→W
mba_obf_linear:387	v1 + 0x6 * ~ v0	-0x6 + v1 - 0x6 * v0	0x1 * v1 + 0x6 * ~ v0	5	5	8	W→W
mba_obf_linear:392	(-0x1) * ~ v1	0x1 + v1	(-0x1) * 0x1 * ~ v1	3	3	5	W→W
mba_obf_linear:393	-0x2 - 0x3 * v0 - (v1 & ~ v0)	-0x2 - 0x3 * v0 - v1 + (v0 & v1)	0x2 * ~ v0 - 0x1 * (v0 | v1)	9	9	11	W→W
mba_obf_linear:408	0x4 * (v1 & ~ v0) - 0x3 * ~ v0	0x3 + 0x3 * v0 + 0x4 * (v1 & ~ v0)	0x1 * ~ v0 - 0x4 * ~ (v0 | v1)	9	9	12	W→W
mba_obf_linear:409	0xa * ~ v1 + 0xd * (v0 & v1) - 0x3 * v0	-0xa - 0x3 * v0 - 0xa * v1 + 0xd * (v0 & v1)	0x7 * (v0 | ~ v1) + 0x3 * ~ (v0 ^ v1)	10	10	13	W→W
mba_obf_linear:416	0xb * (v0 & ~ v1) - 0xc * ~ v1	0xc + 0xb * (v0 & ~ v1) + 0xc * v1	(-0x1) * 0x1 * ~ v1 - 0xb * ~ (v0 | v1)	9	9	13	W→W
